"ID","ISDELETED","NAME","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","PROJECT__C","DESCRIPTION__C","CATEGORY__C","PROJECT_BUDGET_EXTERNAL_ID__C","COSTS__C"
"a00J0000004kVZvIAM","false","PB-012287","2013-07-08T07:29:13.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNFUFIA5","Landbouw ondersteuning door aanschaf van ploegen ossen en karren voor de landbouw","","143","4900.0"
"a00J0000004kVZwIAM","false","PB-012513","2013-07-08T07:32:35.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNFlBIAX","Kleding, toiletartikelen etc. voor 1 jaar voor 50 kinderen . 50 x 8 euro = 400 euro","","3666","400.0"
"a00J0000004kVZzIAM","false","PB-012232","2013-07-08T07:28:27.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNF9BIAX","Bandrecorders voor opnames interviews","","12799","150.0"
"a00J0000004kVa0IAE","false","PB-012275","2013-07-08T07:29:02.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNEvyIAH","Voor het opzetten van boomkwekerijen en het kweken van fruitbomen en palmen. Voor iedere 10 cent wordt minimaal 1 fruitboom gekweekt!","","114","5000.0"
"a00J0000004kVa1IAE","false","PB-012300","2013-07-08T07:29:23.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNFCXIA5","1) 6 Cruiser fietsen voor verhuur aan toeristen
2) Aanschaf van een 25 delig naslagwerk; The Flora of the Guianas, uitgegeven door het Nationaal Herbarium van Nederland.","","1515","1285.0"
"a00J0000004kVa2IAE","false","PB-012339","2013-07-08T07:29:54.000Z","005J00000018K40IAE","2013-07-08T07:39:04.000Z","005J00000018K40IAE","2013-07-08T07:39:04.000Z","a01J000000VNFB1IAP","Persen DVD & CD, incl. hoes, Zambia","","42892","1100.0"
"a00J0000004kVa3IAE","false","PB-012739","2013-07-08T07:43:40.000Z","005J00000018K40IAE","2013-07-29T12:50:19.000Z","005J00000018K40IAE","2013-07-29T12:50:19.000Z","a01J000000VNFqIIAX","Voor de inrichting van het gebouw; 
7 tafels (15 euro)","","9380","105.0"
"a00J0000004kVa4IAE","false","PB-012233","2013-07-08T07:28:28.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNFX2IAP","Verbeteren van huisvesting (restauratie bestaand gebouw).","","39","3000.0"
"a00J0000004kVa5IAE","false","PB-012234","2013-07-08T07:28:29.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNFYJIA5","De inrichting van het 5e woonhuis zodat weer tien kinderen met een zorgmoeder een liefdevol huis en thuis krijgen.","","43","1775.0"
"a00J0000004kVa9IAE","false","PB-012235","2013-07-08T07:28:30.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNF9BIAX","Transport kinderen","","12800","400.0"
